"Match Label","Course A Canonical","Course A Subject","Course A Code","Course A Title","Course A Description","Course B Canonical","Course B Subject","Course B Code","Course B Title","Course B Description"
1,10856,"Economics","UCI___ECON 116","Game Theory ","Extensive form games with perfect information and coalitional games. The key solution concepts are Nash Equilibrium, Backward Induction, and the Core. Substantive examples include public good production, oligopoly, electoral competition, auctions, holdup, market entry, and voting.",1407,"Economics","UCD___ECN 122","Theory of Games & Strategic Behavior","Introduction to game theory. Explanation of the behavior of rational individuals with interacting and often conflicting interests. Non-cooperative and cooperative theory. Applications to economics, political science and other fields."
1,12983,"Economics","UCSC___ECON 166A","Game Theory and Applications I","Introduces modern game theory, including applications in social science, biology, and engineering. Topics include extensive form, strategic form, mixed strategies, incomplete information, repeated games, evolutionary games, and simulation techniques.",1407,"Economics","UCD___ECN 122","Theory of Games & Strategic Behavior","Introduction to game theory. Explanation of the behavior of rational individuals with interacting and often conflicting interests. Non-cooperative and cooperative theory. Applications to economics, political science and other fields."
1,10856,"Economics","UCI___ECON 116","Game Theory ","Extensive form games with perfect information and coalitional games. The key solution concepts are Nash Equilibrium, Backward Induction, and the Core. Substantive examples include public good production, oligopoly, electoral competition, auctions, holdup, market entry, and voting.",5871,"Economics","UCLA___ECON 106G","Introduction to Game Theory","Enrollment priority to Business Economics majors. Introduction to basic ideas of game theory and strategic thinking. Discussion of ideas such as dominance, backward induction, Nash equilibrium, commitment, credibility, asymmetric information, and signaling, with application to examples from economics, politics, business, and other real-life situations."
1,5871,"Economics","UCLA___ECON 106G","Introduction to Game Theory","Enrollment priority to Business Economics majors. Introduction to basic ideas of game theory and strategic thinking. Discussion of ideas such as dominance, backward induction, Nash equilibrium, commitment, credibility, asymmetric information, and signaling, with application to examples from economics, politics, business, and other real-life situations.",12983,"Economics","UCSC___ECON 166A","Game Theory and Applications I","Introduces modern game theory, including applications in social science, biology, and engineering. Topics include extensive form, strategic form, mixed strategies, incomplete information, repeated games, evolutionary games, and simulation techniques."
1,5871,"Economics","UCLA___ECON 106G","Introduction to Game Theory","Enrollment priority to Business Economics majors. Introduction to basic ideas of game theory and strategic thinking. Discussion of ideas such as dominance, backward induction, Nash equilibrium, commitment, credibility, asymmetric information, and signaling, with application to examples from economics, politics, business, and other real-life situations.",1407,"Economics","UCD___ECN 122","Theory of Games & Strategic Behavior","Introduction to game theory. Explanation of the behavior of rational individuals with interacting and often conflicting interests. Non-cooperative and cooperative theory. Applications to economics, political science and other fields."
0,884,"Cinema & Digital Media|English|Science & Technology Studies","UCD___CDM 172","Video Games & Culture","Critical approaches to the study of video games, focusing on formal, historical, and cultural modes of analysis. History of software and hardware in North American and global contexts. Relations of games to society, politics, economics, media, etc.",8101,"Mathematics","UCLA___MATH 167","Mathematical Game Theory","Quantitative modeling of strategic interaction. Topics include extensive and normal form games, background probability, lotteries, mixed strategies, pure and mixed Nash equilibria and refinements, bargaining; emphasis on economic examples. Optional topics include repeated games and evolutionary game theory."
2,1407,"Economics","UCD___ECN 122","Theory of Games & Strategic Behavior","Introduction to game theory. Explanation of the behavior of rational individuals with interacting and often conflicting interests. Non-cooperative and cooperative theory. Applications to economics, political science and other fields.",8101,"Mathematics","UCLA___MATH 167","Mathematical Game Theory","Quantitative modeling of strategic interaction. Topics include extensive and normal form games, background probability, lotteries, mixed strategies, pure and mixed Nash equilibria and refinements, bargaining; emphasis on economic examples. Optional topics include repeated games and evolutionary game theory."
1,10854,"Economics","UCI___ECON 113","Game Theory of Human Cooperation and Morality","Teaches how game theory is used to understand human cooperation
and morality. Covers basic game-theoretic concepts and analysis, how they
illuminate what it means to be moral, and how prosocial human dispositions
evolved.",12983,"Economics","UCSC___ECON 166A","Game Theory and Applications I","Introduces modern game theory, including applications in social science, biology, and engineering. Topics include extensive form, strategic form, mixed strategies, incomplete information, repeated games, evolutionary games, and simulation techniques."
1,10854,"Economics","UCI___ECON 113","Game Theory of Human Cooperation and Morality","Teaches how game theory is used to understand human cooperation
and morality. Covers basic game-theoretic concepts and analysis, how they
illuminate what it means to be moral, and how prosocial human dispositions
evolved.",1407,"Economics","UCD___ECN 122","Theory of Games & Strategic Behavior","Introduction to game theory. Explanation of the behavior of rational individuals with interacting and often conflicting interests. Non-cooperative and cooperative theory. Applications to economics, political science and other fields."
0,884,"Cinema & Digital Media|English|Science & Technology Studies","UCD___CDM 172","Video Games & Culture","Critical approaches to the study of video games, focusing on formal, historical, and cultural modes of analysis. History of software and hardware in North American and global contexts. Relations of games to society, politics, economics, media, etc.",11180,"Game Design and Interactive Media","UCI___GDIM 25","Game Design Fundamentals","Explore the fundamentals of game design through the design and play of simple analog game systems. Students explore the principles and usage of game design elements through hands-on projects emphasizing iteration and playtesting in a creative game design community."
1,12860,"Computational Media","UCSC___CMPM 171","Game Design Studio","Students work in teams to create a fully-functional subset (''vertical slice'') of an interactive, playable software system. Focus is on experience design, systems design, integrating assets (visual, auditory, and written), testing, and project management.",11180,"Game Design and Interactive Media","UCI___GDIM 25","Game Design Fundamentals","Explore the fundamentals of game design through the design and play of simple analog game systems. Students explore the principles and usage of game design elements through hands-on projects emphasizing iteration and playtesting in a creative game design community."
1,5593,"Design / Media Arts","UCLA___DESMA 125","Game Design","Introduction to game design, with focus on developing conceptual and practical skills that form basis for both digital and nondigital game development. Development of four playable game projects that explore various aspects of game design: rule design, game balance, multiplayer strategy, complexity, randomness, polemics, narrative, physical interaction, and aesthetic and pragmatic aspects of physical game design.",11181,"Game Design and Interactive Media","UCI___GDIM 27","Intermediate Game Design","More advanced study of game design principles and systems design through the study of complex problems and play experiences. Topics include economies, game balancing, level design, prototyping, stat design, playtesting, and design documentation."
2,11190,"Game Design and Interactive Media","UCI___GDIM 61","Introduction to Game Development","Introduction to the design and development of games. Includes core concepts in software development, team management, leadership, and project management.",889,"Cinema & Digital Media","UCD___CDM 177","Introduction to Game Programming","Introduction to computer science concepts and programming practices for video games."
1,11180,"Game Design and Interactive Media","UCI___GDIM 25","Game Design Fundamentals","Explore the fundamentals of game design through the design and play of simple analog game systems. Students explore the principles and usage of game design elements through hands-on projects emphasizing iteration and playtesting in a creative game design community.",882,"Cinema & Digital Media|English","UCD___ENL 170","Narrative Game Design","Narrative game design. Character, dialogue, environmental storytelling, procedurally-generated text, play as narrative. Workshop, critique, and publish narrative and text-based games."
2,11180,"Game Design and Interactive Media","UCI___GDIM 25","Game Design Fundamentals","Explore the fundamentals of game design through the design and play of simple analog game systems. Students explore the principles and usage of game design elements through hands-on projects emphasizing iteration and playtesting in a creative game design community.",885,"Cinema & Digital Media","UCD___CDM 173","Introduction to Analog Game Design","Fundamental theories and practices of analog game design. Pen & paper, dice & cards, checkers & chess to riddles & stories, track & field, and other forms of play. Prototype, playtest, and presentation of original analog games."
0,851,"Cinema & Digital Media|English","UCD___ENL 072","Introduction to Games","Introduction to the history, theory, and practice of play. Survey of both analog and digital games. Overview of gaming cultures, aesthetics, industries, and technologies.",5871,"Economics","UCLA___ECON 106G","Introduction to Game Theory","Enrollment priority to Business Economics majors. Introduction to basic ideas of game theory and strategic thinking. Discussion of ideas such as dominance, backward induction, Nash equilibrium, commitment, credibility, asymmetric information, and signaling, with application to examples from economics, politics, business, and other real-life situations."
1,4658,"Astronomy","UCLA___ASTR 81","Fundamentals of Astrophysics","Open to qualified sophomore and upper-division students. Students develop understanding of fundamental physical concepts such as gravity and radiation, and how these concepts connect to stars and planets. Overview of stars and stellar evolution, and tools and methods important to astrophysics such as telescopes and spectroscopy.",520,"Astronomy","UCD___AST 025","Introduction to Modern Astronomy & Astrophysics","Description and interpretation of astronomical phenomena using the laws of modern physics and observations by modern astronomical instruments. Gravity, relativity, electromagnetic radiation, atomic and nuclear processes in relation to the structure and evolution of stars, galaxies and the universe."
2,2622,"Mathematics","UCD___MAT 022A","Linear Algebra","Matrices and linear transformations, determinants, eigenvalues, eigenvectors, diagonalization, factorization.",11774,"Mathematics","UCI___MATH 3A","Introduction to Linear Algebra","Systems of linear equations, matrix operations, determinants, eigenvalues and eigenvectors, vector spaces, subspaces, and dimension."
2,13169,"Mathematics","UCSC___MATH 21","Linear Algebra","Systems of linear equations matrices, determinants. Introduces abstract vector spaces, linear transformation, inner products, the geometry of Euclidean space, and eigenvalues.",8043,"Mathematics","UCLA___MATH 33A","Linear Algebra and Applications","Introduction to linear algebra: systems of linear equations, matrix algebra, linear independence, subspaces, bases and dimension, orthogonality, least-squares methods, determinants, eigenvalues and eigenvectors, matrix diagonalization, and symmetric matrices."
2,2622,"Mathematics","UCD___MAT 022A","Linear Algebra","Matrices and linear transformations, determinants, eigenvalues, eigenvectors, diagonalization, factorization.",13169,"Mathematics","UCSC___MATH 21","Linear Algebra","Systems of linear equations matrices, determinants. Introduces abstract vector spaces, linear transformation, inner products, the geometry of Euclidean space, and eigenvalues."
1,1205,"Computer Science Engineering","UCD___ECS 165A","Database Systems","Database modeling and design (E/R model, relational model), relational algebra, query languages (SQL), file and index structures, query processing, transaction management.",13422,"Computer Science and Engineering","UCSC___CSE 180","Database Systems I","Introduction to the concepts, approaches, tools, and methodology of database design. Covers the entity-relationship model, the relational model, relational algebra, relational calculus, commercial languages (such as SQL and QBE), functional dependencies, normal forms, and design theory. Other topics may include knowledge-bases, constraint databases, and alternative database models. Students that have taken and passed CSE 182 may not take CSE 180 for credit."
1,5989,"Education","UCLA___EDUC 127","Educational Psychology: Contexts for Teaching and Learning","Broad overview of educational psychology, with examination of relationship of teaching and learning; various perspectives as to how children learn; issues of teaching and learning that arise based on child's social class, ethnic background, gender, age, and level of ability.",1442,"Education","UCD___EDU 110","Educational Psychology: General","Learning processes, cognitive development, individual differences, testing and evaluation."
0,5973,"Education","UCLA___EDUC 107B","Race and Education: Access, Equity, and Achievement","Social/psychological perspective on education, with particular attention to race, ethnicity, and inequality. Study of structural, social, and personal determinants of educational outcomes. Consideration of relationship of schools to social context and other societal institutions. Examination of how education sets life trajectory in America and effects of race/ethnicity on access to educational opportunity in our society.",1445,"Education","UCD___EDU 120","Philosophical & Social Foundations of Education","Philosophical and sociological foundations of education and schools in contemporary societies."
2,12988,"Education","UCSC___EDUC 121","The Struggle for K-12 Ethnic Studies","Critical analysis of the movement for K-12 ethnic studies in historical and contemporary time periods with a particular focus on the Liberated Ethnic Studies Model Curriculum. Students read, discuss, and analyze past and present K-12 ethnic studies research, policy, and practice to deepen their knowledge and strengthen their ability to critique issues in K-12 ethnic studies education while reflecting on how the concepts and questions that arise relate to their own educational experiences and lives.",1454,"Education","UCD___EDU 155","Ethnic Studies in K-12 Schools","Brief historical genealogy of Ethnic Studies as an interdisciplinary field, content and pedagogical knowledge of Ethnic Studies approaches in K-12 school settings and grassroots communities, and reviews the existing research of Ethnic Studies literacies in US public schools."
1,13624,"Education","UCSC___EDUC 135","Gender and Education","Addresses the changing but continuing patterns of unequal expectations, opportunities, and treatment throughout the educational system for all students, female and male, who do not match a standard model of gender performance.",5977,"Education","UCLA___EDUC 110","Gender Development in Education","Exploration of what is known (or thought to be known) about gender, how it is known, and how it can be used to improve the lives of all youth, especially those who have been oppressed or historically excluded."
1,13623,"Education","UCSC___EDUC 60","Schooling, Democracy, and Justice","Survey course exploring the foundations of public education in the United States, including: the social and political forces within schools and school systems in the U.S. the history and formation of the system and the educational policies and practices in our culturally and linguistically diverse nation.",5980,"Education","UCLA___EDUC 113","Democracy, Justice, and Education","Democracy, justice, and education are core ideals that define public discourse and scholarship about schooling. Exploration of these ideals from philosophical and practical perspective in context of century-old community schools movement. Global pandemic has renewed public interest in community schools framed as equity-focused anti-poverty reform to provide integrated social supports such as health, nutrition, and after-school programs. Movement also has strong democratic roots tied to local control, collective problem solving, and community-based learning--challenging ideas about who has power, how young people learn, and how teachers teach. Inquiry grounded in experience of two UCLA community schools as well as five other community school sites chosen by students. Examination of whether and how these schools are sites of social transformation by investigating contexts, theories, and practices that define their work."
2,1451,"Education","UCD___EDU 151","History & Approaches to Multilingualism in K-12 Contexts","First and second language acquisition processes for emergent bilinguals/dual language learners with an emphasis on sociocultural contexts and equity. The history and politics of bilingual education, benefits of bilingualism, role of family and community, assessments, language varieties and dialectical differences, translanguaging, and strategies for scaffolding instruction. Current research on bilingualism and pedagogical programs and trends will be addressed.",10921,"Education","UCI___EDUC 52","Foundations of Bilingual Education and Bilingualism","Provides a comprehensive overview of current issues in bilingual education and bilingualism. Topics include dimensions of bilingualism, the effects of bilingualism on children's linguistic and cognitive development, bilingual education programs, literacy, special needs, and assessment."
2,2404,"Japanese","UCD___JPN 001","Elementary Japanese","Introduction to spoken and written Japanese in cultural contexts, with emphasis on communication.",7586,"Japanese","UCLA___JAPAN 1","Elementary Modern Japanese","Introduction to modern Japanese with attention to conversation, grammar, and written forms. Conversation drill based on material covered in class."
2,11542,"Japanese","UCI___JAPANSE 1A","Fundamental Japanese","Students develop listening, speaking, reading, and writing abilities in Japanese for meaningful communication. Content deals with daily life, society, and culture in Japan. Approximately 180 kanji (Chinese characters) are introduced in addition to the hiragana and katakana orthography.",13511,"Japanese","UCSC___JAPN 1","First-Year Japanese","Students carry out beginning-level tasks that involve listening, speaking, reading, and/or writing, and learn how to read and write Japanese scripts (hiragana, katakana, and about 14 kanji)."
2,2404,"Japanese","UCD___JPN 001","Elementary Japanese","Introduction to spoken and written Japanese in cultural contexts, with emphasis on communication.",13511,"Japanese","UCSC___JAPN 1","First-Year Japanese","Students carry out beginning-level tasks that involve listening, speaking, reading, and/or writing, and learn how to read and write Japanese scripts (hiragana, katakana, and about 14 kanji)."
1,7599,"Japanese","UCLA___JAPAN 75","Anime","Discussion and analysis of seminal works of Japanese animation, or anime, created from 1980s to present. Engagement with works in variety of styles, and that deal with broad range of themes. Reading and discussion of recent scholarship on anime produced by scholars working in diverse modes, from philosophical to anthropological.",2423,"Japanese","UCD___JPN 109","Japanese Popular Culture","Japanese popular culture, from its development during the early modern period to contemporary incarnations. Emphasis on major forms of popular culture that emerged in the 20th century, including manga, anime, and genre film."
0,2423,"Japanese","UCD___JPN 109","Japanese Popular Culture","Japanese popular culture, from its development during the early modern period to contemporary incarnations. Emphasis on major forms of popular culture that emerged in the 20th century, including manga, anime, and genre film.",13880,"Japanese","UCSC___JAPN 109","Japanese Language, Culture, and Society","Critical reading of Japanese texts, such as essays, film scripts, and novels in regard to linguistic diversity related to cultural and social diversity. Topics include standard Japanese and regional variation, politeness and honorifics, age-related stylistic variation, and gendered language."
1,13880,"Japanese","UCSC___JAPN 109","Japanese Language, Culture, and Society","Critical reading of Japanese texts, such as essays, film scripts, and novels in regard to linguistic diversity related to cultural and social diversity. Topics include standard Japanese and regional variation, politeness and honorifics, age-related stylistic variation, and gendered language.",2414,"Japanese","UCD___JPN 025","Japanese Language & Culture (in English)","Classification and communication of experience in Japanese culture; principles of language use in Japanese society. Speech levels and honorific language, language and gender, minority languages, literacy. Role of Japanese in artificial intelligence and computer science."
1,884,"Cinema & Digital Media|English|Science & Technology Studies","UCD___CDM 172","Video Games & Culture","Critical approaches to the study of video games, focusing on formal, historical, and cultural modes of analysis. History of software and hardware in North American and global contexts. Relations of games to society, politics, economics, media, etc.",11185,"Game Design and Interactive Media","UCI___GDIM 41","Games and Society","The study and critical analysis of computer games as art objects, cultural artifacts, gateways to virtual worlds, educational aids, and tools for persuasion and social change. Emphasis on understanding games in their historical and cultural context."
1,5573,"Design / Media Arts","UCLA___DESMA 7","Critical Game Culture","Introduction to critical issues in the culture and history of games. Consideration of games and game culture in relation to contemporary social issues such as economics and class, environment, violence, gender identity, and cross-cultural representation. Weekly focus on a different subject or topic related to games and games culture, combining reading, lecture, discussion, game examples, and opportunities for hands-on gameplay.",12849,"Computational Media","UCSC___CMPM 80J","Games as Technical Culture","Examines games as technical and cultural artifacts—shaped by society and, in turn, shaping it. Core topics are traced over time, including social, technical, and artistic topics (for example: conceptions of war, platform affordances, and genre evolution)."
1,884,"Cinema & Digital Media|English|Science & Technology Studies","UCD___CDM 172","Video Games & Culture","Critical approaches to the study of video games, focusing on formal, historical, and cultural modes of analysis. History of software and hardware in North American and global contexts. Relations of games to society, politics, economics, media, etc.",5573,"Design / Media Arts","UCLA___DESMA 7","Critical Game Culture","Introduction to critical issues in the culture and history of games. Consideration of games and game culture in relation to contemporary social issues such as economics and class, environment, violence, gender identity, and cross-cultural representation. Weekly focus on a different subject or topic related to games and games culture, combining reading, lecture, discussion, game examples, and opportunities for hands-on gameplay."
1,5573,"Design / Media Arts","UCLA___DESMA 7","Critical Game Culture","Introduction to critical issues in the culture and history of games. Consideration of games and game culture in relation to contemporary social issues such as economics and class, environment, violence, gender identity, and cross-cultural representation. Weekly focus on a different subject or topic related to games and games culture, combining reading, lecture, discussion, game examples, and opportunities for hands-on gameplay.",11185,"Game Design and Interactive Media","UCI___GDIM 41","Games and Society","The study and critical analysis of computer games as art objects, cultural artifacts, gateways to virtual worlds, educational aids, and tools for persuasion and social change. Emphasis on understanding games in their historical and cultural context."
1,12849,"Computational Media","UCSC___CMPM 80J","Games as Technical Culture","Examines games as technical and cultural artifacts—shaped by society and, in turn, shaping it. Core topics are traced over time, including social, technical, and artistic topics (for example: conceptions of war, platform affordances, and genre evolution).",11185,"Game Design and Interactive Media","UCI___GDIM 41","Games and Society","The study and critical analysis of computer games as art objects, cultural artifacts, gateways to virtual worlds, educational aids, and tools for persuasion and social change. Emphasis on understanding games in their historical and cultural context."
2,12849,"Computational Media","UCSC___CMPM 80J","Games as Technical Culture","Examines games as technical and cultural artifacts—shaped by society and, in turn, shaping it. Core topics are traced over time, including social, technical, and artistic topics (for example: conceptions of war, platform affordances, and genre evolution).",884,"Cinema & Digital Media|English|Science & Technology Studies","UCD___CDM 172","Video Games & Culture","Critical approaches to the study of video games, focusing on formal, historical, and cultural modes of analysis. History of software and hardware in North American and global contexts. Relations of games to society, politics, economics, media, etc."
2,13021,"Film and Digital Media","UCSC___FILM 80V","Video Games as Visual Culture","Through aesthetic, medium-specific and critical theories of electronic games, course introduces histories, ideas, and debates that inform critical game studies. Themes include: games and cinema; race, class, gender, sexuality and representation; visual/cultural studies approaches; topical issues in games.",884,"Cinema & Digital Media|English|Science & Technology Studies","UCD___CDM 172","Video Games & Culture","Critical approaches to the study of video games, focusing on formal, historical, and cultural modes of analysis. History of software and hardware in North American and global contexts. Relations of games to society, politics, economics, media, etc."
1,13021,"Film and Digital Media","UCSC___FILM 80V","Video Games as Visual Culture","Through aesthetic, medium-specific and critical theories of electronic games, course introduces histories, ideas, and debates that inform critical game studies. Themes include: games and cinema; race, class, gender, sexuality and representation; visual/cultural studies approaches; topical issues in games.",5573,"Design / Media Arts","UCLA___DESMA 7","Critical Game Culture","Introduction to critical issues in the culture and history of games. Consideration of games and game culture in relation to contemporary social issues such as economics and class, environment, violence, gender identity, and cross-cultural representation. Weekly focus on a different subject or topic related to games and games culture, combining reading, lecture, discussion, game examples, and opportunities for hands-on gameplay."
2,3094,"Physics","UCD___PHY 129A","Introduction to Nuclear Physics","Survey of basic nuclear properties and concepts requiring introductory knowledge of quantum mechanics: nuclear models and forces, radioactive decay and detecting nuclear radiation and nuclear reaction products, alpha, beta and gamma decay.",8619,"Physics","UCLA___PHYSICS 124","Nuclear Physics  ","Nuclear properties, nuclear forces, nuclear structure, nuclear decays, and nuclear reactions."
2,3084,"Physics","UCD___PHY 115A","Foundation of Quantum Mechanics","Introduction to the methods of quantum mechanics with applications to atomic, molecular, solid state, nuclear and elementary particle physics.",8614,"Physics","UCLA___PHYSICS 115A","Quantum Mechanics","Classical background. Basic ideas of quantum nature of light, wave-particle duality, Heisenberg uncertainty principle, Schrödinger equation. One-dimensional square well and harmonic oscillator problems. One-dimensional scattering, Formal theory, Hilbert spaces, and Dirac notation."
2,785,"Chinese","UCD___CHN 001","Elementary Chinese","Developing elementary level skills of listening, speaking, reading and writing in Mandarin Chinese in everyday communication settings. Introduction of fundamentals of pronunciation, grammar, and Chinese characters will be introduced.",10355,"Chinese","UCI___CHINESE 1A","Fundamental Mandarin Chinese","Natural approach emphasizing four fundamental skills: listening, speaking, reading and writing. Specifically designed for students with no previous experience in any dialect of Chinese. Conducted in Mandarin Chinese using the Pinyin system of Romanization, traditional and simplified Chinese characters."
2,5012,"Chinese","UCLA___CHIN 1","Elementary Modern Chinese","Introduction to fundamentals of standard Chinese, including pronunciation, grammar, and Chinese characters, with emphasis on all four basic language skills--speaking, listening comprehension, reading, and writing.",13391,"Chinese","UCSC___CHIN 1","First-Year Chinese","Instruction in elementary spoken and written Chinese (Mandarin), beginning with the sounds of Chinese and their representation in the pinyin romanization system. Conversation, structural analysis, and an introduction to character texts. The first-year sequence (1-2-3) begins only in the fall quarter. Students interested in learning Chinese who are uncertain about where they should enter the sequence should meet with the instructor prior to the first class meeting."
2,785,"Chinese","UCD___CHN 001","Elementary Chinese","Developing elementary level skills of listening, speaking, reading and writing in Mandarin Chinese in everyday communication settings. Introduction of fundamentals of pronunciation, grammar, and Chinese characters will be introduced.",13391,"Chinese","UCSC___CHIN 1","First-Year Chinese","Instruction in elementary spoken and written Chinese (Mandarin), beginning with the sounds of Chinese and their representation in the pinyin romanization system. Conversation, structural analysis, and an introduction to character texts. The first-year sequence (1-2-3) begins only in the fall quarter. Students interested in learning Chinese who are uncertain about where they should enter the sequence should meet with the instructor prior to the first class meeting."
1,2974,"Philosophy","UCD___PHI 011","Asian Philosophy ","Survey of the main philosophical systems of south and east Asia: Hinduism, Buddhism, Confucianism, and Taoism. Topics include the nature of reality, including God, the universe and the human self, human knowledge, and the proper conduct of human life.",10813,"East Asian Studies","UCI___EAS 20","Topics in Asian Religions      ","An introduction to Asian religions (Hinduism, Buddhism, Confucianism, Taoism, Shamanism) including both elite doctrinal aspects and forms of more popular religiosity."
0,1393,"Economics","UCD___ECN 106","Decision Making","Descriptive and normative analysis of individual decision making, with applications to personal, professional, financial, and public policy decisions. Emphasis on decision making under uncertainty and over time. Heuristics and biases in the psychology of decisions; overcoming decision traps.",10877,"Economics","UCI___ECON 140","Managerial Economics","A collection of concepts and methods for effective decision making. Explores how the tools of microeconomics, including game theory and industrial organization theory, can be used to make better managerial decisions, particularly those involving allocation of resources within firms."
1,11785,"Mathematics","UCI___MATH 110A","Optimization I","Introduction to optimization, linear search method, trust region method, Newton method, linear programming, linear, and non-linear least square methods.",2661,"Mathematics","UCD___MAT 168","Optimization","Linear programming, simplex method. Basic properties of unconstrained nonlinear problems, descent methods, conjugate direction method. Constrained minimization. Programming language required."
1,8100,"Mathematics","UCLA___MATH 164","Optimization","Fundamentals of optimization. Linear programming: basic solutions, simplex method, duality theory. Unconstrained optimization, Newton method for minimization. Nonlinear programming, optimality conditions for constrained problems. Additional topics from linear and nonlinear programming.",2661,"Mathematics","UCD___MAT 168","Optimization","Linear programming, simplex method. Basic properties of unconstrained nonlinear problems, descent methods, conjugate direction method. Constrained minimization. Programming language required."
