Topic,Match Label,Difficulty Category,University A,Course A Subject,Course A Code,Course A Title,Course A Description,University B,Course B Subject,Course B Code,Course B Title,Course B Description,Annotator Initials,Notes
Mulilingualism,2,mid,UCD,EDU,151,History & Approaches to Multilingualism in K-12 Contexts,"First and second language acquisition processes for emergent bilinguals/dual language learners with an emphasis on sociocultural contexts and equity. The history and politics of bilingual education, benefits of bilingualism, role of family and community, assessments, language varieties and dialectical differences, translanguaging, and strategies for scaffolding instruction. Current research on bilingualism and pedagogical programs and trends will be addressed.",UCI,EDUC,52,Foundations of Bilingual Education and Bilingualism.,"Provides a comprehensive overview of current issues in bilingual education and bilingualism. Topics include dimensions of bilingualism, the effects of bilingualism on children's linguistic and cognitive development, bilingual education programs, literacy, special needs, and assessment.",TT,
Elementary Japanese,2,easy,UCD,JPN,001,Elementary Japanese,"Introduction to spoken and written Japanese in cultural contexts, with emphasis on communication.",UCLA,JAPAN,1,Elementary Modern Japanese,"Introduction to modern Japanese with attention to conversation, grammar, and written forms. Conversation drill based on material covered in class.",TT,
Elementary Japanese,2,easy,UCI,JAPANSE,1A,Fundamental Japanese.,"Students develop listening, speaking, reading, and writing abilities in Japanese for meaningful communication. Content deals with daily life, society, and culture in Japan. Approximately 180 kanji (Chinese characters) are introduced in addition to the hiragana and katakana orthography.",UCSC,JAPN,1,First-Year Japanese,"Students carry out beginning-level tasks that involve listening, speaking, reading, and/or writing, and learn how to read and write Japanese scripts (hiragana, katakana, and about 14 kanji).",TT,
Elementary Japanese,2,easy,UCD,JPN,001,Elementary Japanese,"Introduction to spoken and written Japanese in cultural contexts, with emphasis on communication.",UCSC,JAPN,1,First-Year Japanese,"Students carry out beginning-level tasks that involve listening, speaking, reading, and/or writing, and learn how to read and write Japanese scripts (hiragana, katakana, and about 14 kanji).",TT,
JP Pop Culture,1,mid,UCLA,JAPAN,75,Anime,"Discussion and analysis of seminal works of Japanese animation, or anime, created from 1980s to present. Engagement with works in variety of styles, and that deal with broad range of themes. Reading and discussion of recent scholarship on anime produced by scholars working in diverse modes, from philosophical to anthropological.",UCD,JPN,109,Japanese Popular Culture,"Japanese popular culture, from its development during the early modern period to contemporary incarnations. Emphasis on major forms of popular culture that emerged in the 20th century, including manga, anime, and genre film.",TT,
JP Culture ,0,negative,UCD,JPN,109,Japanese Popular Culture,"Japanese popular culture, from its development during the early modern period to contemporary incarnations. Emphasis on major forms of popular culture that emerged in the 20th century, including manga, anime, and genre film.",UCSC,JAPN,109,"Japanese Language, Culture, and Society","Critical reading of Japanese texts, such as essays, film scripts, and novels in regard to linguistic diversity related to cultural and social diversity. Topics include standard Japanese and regional variation, politeness and honorifics, age-related stylistic variation, and gendered language.",TT,
JP Culture ,1,niche,UCSC,JAPN,109,"Japanese Language, Culture, and Society","Critical reading of Japanese texts, such as essays, film scripts, and novels in regard to linguistic diversity related to cultural and social diversity. Topics include standard Japanese and regional variation, politeness and honorifics, age-related stylistic variation, and gendered language.",UCD,JPN,025,Japanese Language & Culture (in English),"Classification and communication of experience in Japanese culture; principles of language use in Japanese society. Speech levels and honorific language, language and gender, minority languages, literacy. Role of Japanese in artificial intelligence and computer science.",TT,
Video Games Culture,1,mid,UCD,CDM,172,Video Games & Culture,"Critical approaches to the study of video games, focusing on formal, historical, and cultural modes of analysis. History of software and hardware in North American and global contexts. Relations of games to society, politics, economics, media, etc.",UCI,GDIM,41,Games and Society.,"The study and critical analysis of computer games as art objects, cultural artifacts, gateways to virtual worlds, educational aids, and tools for persuasion and social change. Emphasis on understanding games in their historical and cultural context.",TT,
Video Games Culture,1,mid,UCLA,DESMA,7,Critical Game Culture,"Introduction to critical issues in the culture and history of games. Consideration of games and game culture in relation to contemporary social issues such as economics and class, environment, violence, gender identity, and cross-cultural representation. Weekly focus on a different subject or topic related to games and games culture, combining reading, lecture, discussion, game examples, and opportunities for hands-on gameplay.",UCSC,CMPM,80J,Games as Technical Culture,"Examines games as technical and cultural artifactsâ€”shaped by society and, in turn, shaping it. Core topics are traced over time, including social, technical, and artistic topics (for example: conceptions of war, platform affordances, and genre evolution).",TT,
Video Games Culture,1,mid,UCD,CDM,172,Video Games & Culture,"Critical approaches to the study of video games, focusing on formal, historical, and cultural modes of analysis. History of software and hardware in North American and global contexts. Relations of games to society, politics, economics, media, etc.",UCLA,DESMA,7,Critical Game Culture,"Introduction to critical issues in the culture and history of games. Consideration of games and game culture in relation to contemporary social issues such as economics and class, environment, violence, gender identity, and cross-cultural representation. Weekly focus on a different subject or topic related to games and games culture, combining reading, lecture, discussion, game examples, and opportunities for hands-on gameplay.",TT,
Video Games Culture,1,mid,UCLA,DESMA,7,Critical Game Culture,"Introduction to critical issues in the culture and history of games. Consideration of games and game culture in relation to contemporary social issues such as economics and class, environment, violence, gender identity, and cross-cultural representation. Weekly focus on a different subject or topic related to games and games culture, combining reading, lecture, discussion, game examples, and opportunities for hands-on gameplay.",UCI,GDIM,41,Games and Society.,"The study and critical analysis of computer games as art objects, cultural artifacts, gateways to virtual worlds, educational aids, and tools for persuasion and social change. Emphasis on understanding games in their historical and cultural context.",TT,
Video Games Culture,1,mid,UCSC,CMPM,80J,Games as Technical Culture,"Examines games as technical and cultural artifactsâ€”shaped by society and, in turn, shaping it. Core topics are traced over time, including social, technical, and artistic topics (for example: conceptions of war, platform affordances, and genre evolution).",UCI,GDIM,41,Games and Society.,"The study and critical analysis of computer games as art objects, cultural artifacts, gateways to virtual worlds, educational aids, and tools for persuasion and social change. Emphasis on understanding games in their historical and cultural context.",TT,
Video Games Culture,2,niche,UCSC,CMPM,80J,Games as Technical Culture,"Examines games as technical and cultural artifactsâ€”shaped by society and, in turn, shaping it. Core topics are traced over time, including social, technical, and artistic topics (for example: conceptions of war, platform affordances, and genre evolution).",UCD,CDM,172,Video Games & Culture,"Critical approaches to the study of video games, focusing on formal, historical, and cultural modes of analysis. History of software and hardware in North American and global contexts. Relations of games to society, politics, economics, media, etc.",TT,
Video Games Culture,2,easy,UCSC,FILM,80V,Video Games as Visual Culture,"Through aesthetic, medium-specific and critical theories of electronic games, course introduces histories, ideas, and debates that inform critical game studies. Themes include: games and cinema; race, class, gender, sexuality and representation; visual/cultural studies approaches; topical issues in games.",UCD,CDM,172,Video Games & Culture,"Critical approaches to the study of video games, focusing on formal, historical, and cultural modes of analysis. History of software and hardware in North American and global contexts. Relations of games to society, politics, economics, media, etc.",TT,
Video Games Culture,1,mid,UCSC,FILM,80V,Video Games as Visual Culture,"Through aesthetic, medium-specific and critical theories of electronic games, course introduces histories, ideas, and debates that inform critical game studies. Themes include: games and cinema; race, class, gender, sexuality and representation; visual/cultural studies approaches; topical issues in games.",UCLA,DESMA,7,Critical Game Culture,"Introduction to critical issues in the culture and history of games. Consideration of games and game culture in relation to contemporary social issues such as economics and class, environment, violence, gender identity, and cross-cultural representation. Weekly focus on a different subject or topic related to games and games culture, combining reading, lecture, discussion, game examples, and opportunities for hands-on gameplay.",TT,
Nuclear Physics,2,mid,UCD,PHY,129A,Introduction to Nuclear Physics,"Survey of basic nuclear properties and concepts requiring introductory knowledge of quantum mechanics: nuclear models and forces, radioactive decay and detecting nuclear radiation and nuclear reaction products, alpha, beta and gamma decay.",UCLA,PHYSICS,124,Nuclear Physics,"Nuclear properties, nuclear forces, nuclear structure, nuclear decays, and nuclear reactions.",YH,
Quantum Theory of Fields,2,niche,UCD,PHY,115A,Foundation of Quantum Mechanics,"Introduction to the methods of quantum mechanics with applications to atomic, molecular, solid state, nuclear and elementary particle physics.",UCLA,PHYSICS,115A,Quantum Mechanics,"Classical background. Basic ideas of quantum nature of light, wave-particle duality, Heisenberg uncertainty principle, SchrÃ¶dinger equation. One-dimensional square well and harmonic oscillator problems. One-dimensional scattering, Formal theory, Hilbert spaces, and Dirac notation.",YH,
Elementary Chinese,2,easy,UCD,CHN,001,Elementary Chinese,"Developing elementary level skills of listening, speaking, reading and writing in Mandarin Chinese in everyday communication settings. Introduction of fundamentals of pronunciation, grammar, and Chinese characters will be introduced.",UCI,CHINESE,1A,Fundamental Mandarin Chinese.,"Natural approach emphasizing four fundamental skills: listening, speaking, reading and writing. Specifically designed for students with no previous experience in any dialect of Chinese. Conducted in Mandarin Chinese using the Pinyin system of Romanization, traditional and simplified Chinese characters.",YH,
Elementary Chinese,2,easy,UCLA,CHIN,1,Elementary Modern Chinese,"Introduction to fundamentals of standard Chinese, including pronunciation, grammar, and Chinese characters, with emphasis on all four basic language skills--speaking, listening comprehension, reading, and writing.",UCSC,CHIN,1,First-Year Chinese,"Instruction in elementary spoken and written Chinese (Mandarin), beginning with the sounds of Chinese and their representation in the pinyin romanization system. Conversation, structural analysis, and an introduction to character texts. The first-year sequence (1-2-3) begins only in the fall quarter. Students interested in learning Chinese who are uncertain about where they should enter the sequence should meet with the instructor prior to the first class meeting.",YH,
Elementary Chinese,2,easy,UCD,CHN,001,Elementary Chinese,"Developing elementary level skills of listening, speaking, reading and writing in Mandarin Chinese in everyday communication settings. Introduction of fundamentals of pronunciation, grammar, and Chinese characters will be introduced.",UCSC,CHIN,1,First-Year Chinese,"Instruction in elementary spoken and written Chinese (Mandarin), beginning with the sounds of Chinese and their representation in the pinyin romanization system. Conversation, structural analysis, and an introduction to character texts. The first-year sequence (1-2-3) begins only in the fall quarter. Students interested in learning Chinese who are uncertain about where they should enter the sequence should meet with the instructor prior to the first class meeting.",YH,
Asian Philosophy ,1,mid,UCD,PHI,011,Asian Philosophy ,"Survey of the main philosophical systems of south and east Asia: Hinduism, Buddhism, Confucianism, and Taoism. Topics include the nature of reality, including God, the universe and the human self, human knowledge, and the proper conduct of human life.",UCI,EAS,20,Topics in Asian Religions      .,"An introduction to Asian religions (Hinduism, Buddhism, Confucianism, Taoism, Shamanism) including both elite doctrinal aspects and forms of more popular religiosity.",YH,
Decision Making,0,negative,UCD,ECN,106,Decision Making,"Descriptive and normative analysis of individual decision making, with applications to personal, professional, financial, and public policy decisions. Emphasis on decision making under uncertainty and over time. Heuristics and biases in the psychology of decisions; overcoming decision traps.",UCI,ECON,140,Managerial Economics.,"A collection of concepts and methods for effective decision making. Explores how the tools of microeconomics, including game theory and industrial organization theory, can be used to make better managerial decisions, particularly those involving allocation of resources within firms.",YH,
Optimization ,1,niche,UCI,MATH,110A,Optimization I.,"Introduction to optimization, linear search method, trust region method, Newton method, linear programming, linear, and non-linear least square methods.",UCD,MAT,168,Optimization,"Linear programming, simplex method. Basic properties of unconstrained nonlinear problems, descent methods, conjugate direction method. Constrained minimization. Programming language required.",YH,
Optimization ,1,niche,UCLA,MATH,164,Optimization,"Fundamentals of optimization. Linear programming: basic solutions, simplex method, duality theory. Unconstrained optimization, Newton method for minimization. Nonlinear programming, optimality conditions for constrained problems. Additional topics from linear and nonlinear programming.",UCD,MAT,168,Optimization,"Linear programming, simplex method. Basic properties of unconstrained nonlinear problems, descent methods, conjugate direction method. Constrained minimization. Programming language required.",TT,
Optimization ,1,niche,UCLA,MATH,164,Optimization,"Fundamentals of optimization. Linear programming: basic solutions, simplex method, duality theory. Unconstrained optimization, Newton method for minimization. Nonlinear programming, optimality conditions for constrained problems. Additional topics from linear and nonlinear programming.",UCI,MATH,110A,Optimization I.,"Introduction to optimization, linear search method, trust region method, Newton method, linear programming, linear, and non-linear least square methods.",YH,
Analysis of Variance,1,mid,UCD,STA,106,Applied Statistical Methods: Analysis of Variance,Basics of experimental design. One-way and two-way fixed effects analysis of variance models. Randomized complete and incomplete block design. Multiple comparisons procedures. One-way random effects model.,UCI,STATS,110,Statistical Methods for Data Analysis I.,"Introduction to statistical methods for analyzing data from experiments and surveys. Methods covered include two-sample procedures, analysis of variance, simple and multiple linear regression.",YH,
Analysis of Variance,1,niche,UCLA,STATS,C151,Experimental Design,"Basic principles, analysis of variance, randomized block designs, Latin squares, balanced incomplete block designs, factorial designs, fractional factorial designs, minimum aberration designs, robust parameter designs.",UCD,STA,106,Applied Statistical Methods: Analysis of Variance,Basics of experimental design. One-way and two-way fixed effects analysis of variance models. Randomized complete and incomplete block design. Multiple comparisons procedures. One-way random effects model.,YH,
